cc_iso3c,indicator,value
ISL,ind_dig,0.7036662702754003
ISL,ind_ffm,0.11731189706255515
ISL,ind_hrm,0.2051371268718543
ISL,ind_inc,0.4570368926022262
ISL,ind_int,0.6083169657970912
ISL,ind_opn,0.0920363852136758
ISL,ind_pol,0.4093936207500876
ISL,ind_pro,0.4248762760683024
ISL,ind_reg,0.3342457834887228
ISL,ind_tax,0.6991834848862525
ISL,incise_index,0.2591035072800579
CZE,ind_cap,0.6437985954520706
CZE,ind_crm,0.7538844005211902
CZE,ind_dig,0.4922240570868298
CZE,ind_ffm,0.5087590272569006
CZE,ind_hrm,0.4805376971693117
CZE,ind_inc,0.1722553364462031
CZE,ind_int,0.2539646610002766
CZE,ind_opn,0.3713042047241997
CZE,ind_pol,0.32702418506834907
CZE,ind_pro,0.6089174817591265
CZE,ind_reg,0.5013682391155825
CZE,ind_tax,0.07930600494584261
CZE,incise_index,0.2518617872452379
PRT,ind_cap,0.6164506376942563
PRT,ind_crm,0.22249844850553824
PRT,ind_dig,0.9000064020760229
PRT,ind_ffm,0.49833881338136327
PRT,ind_hrm,0.35694224898499866
PRT,ind_inc,0.5481638927872675
PRT,ind_int,0.3706570737474644
PRT,ind_opn,0.38224821042323126
PRT,ind_pol,0.44724851033999297
PRT,ind_pro,0.26040687728211553
PRT,ind_reg,0.07674367302617643
PRT,ind_tax,0.5190596066892638
PRT,incise_index,0.24979062584099507
TUR,ind_cap,0
TUR,ind_crm,0.6737103812044661
TUR,ind_dig,0.47314815638483904
TUR,ind_ffm,0.6813596106990996
TUR,ind_hrm,0.36506157282296864
TUR,ind_inc,0.7298234909136038
TUR,ind_int,0.2362685043764123
TUR,ind_opn,0
TUR,ind_pol,0.408342096039257
TUR,ind_pro,0.4227504747409546
TUR,ind_reg,0.03370326349622254
TUR,ind_tax,0.6511213140103753
TUR,incise_index,0.19203332693677808
SVK,ind_cap,0.7132762965211441
SVK,ind_crm,0.5216490582095119
SVK,ind_dig,0.46338606912012703
SVK,ind_ffm,0.5203152841441161
SVK,ind_hrm,0
SVK,ind_inc,0.4137017828535243
SVK,ind_int,0.08429319170479777
SVK,ind_opn,0.46792475148534385
SVK,ind_pol,0.19628461268839817
SVK,ind_pro,0.3633428031734002
SVK,ind_reg,0.4609731066648235
SVK,ind_tax,0.42881086008474406
SVK,incise_index,0.17115495897187907
HRV,ind_cap,0.6144466180087512
HRV,ind_crm,0.3803604733569058
HRV,ind_dig,0
HRV,ind_ffm,0.45444597120674624
HRV,ind_hrm,0.4555431825013545
HRV,ind_inc,0.5189159046981343
HRV,ind_int,0.3392629891561538
HRV,ind_opn,0.2474790759546913
HRV,ind_pol,0.06975113915177006
HRV,ind_pro,0.4967074557208458
HRV,ind_reg,0.36471403930509705
HRV,ind_tax,0.5545599929624543
HRV,incise_index,0.14927794786964638
BGR,ind_cap,0.5801227342935272
BGR,ind_crm,0.5094261459185776
BGR,ind_dig,0.29738563514972277
BGR,ind_ffm,0.5059381531866041
BGR,ind_hrm,0.19115568269425667
BGR,ind_inc,0.6933037006661074
BGR,ind_int,0.22968691027904847
BGR,ind_opn,0.30116010782801755
BGR,ind_pol,0.1759551349456712
BGR,ind_pro,0.46069330391869806
BGR,ind_reg,0.412695067934298
BGR,ind_tax,0.02095283513987067
BGR,incise_index,0.12958097670475255
ROU,ind_cap,0.6349351736006221
ROU,ind_crm,0.48767350454124125
ROU,ind_dig,0.00129220645164296
ROU,ind_ffm,0.5480477943565283
ROU,ind_hrm,0.40090264932155384
ROU,ind_inc,0.8380284143256069
ROU,ind_int,0.2048313972268556
ROU,ind_opn,0.30751810899136484
ROU,ind_pol,0.05222572730459163
ROU,ind_pro,0
ROU,ind_reg,0.371120122202597
ROU,ind_tax,0.4254318176441115
ROU,incise_index,0.1216608857360482
GRC,ind_cap,0.15815399233485247
GRC,ind_crm,0.4947172173595462
GRC,ind_dig,0.22718184468582803
GRC,ind_ffm,0.3208489554607418
GRC,ind_hrm,0.3424488737376893
GRC,ind_inc,0.9261743514924142
GRC,ind_int,0.16869665433842357
GRC,ind_opn,0.342022284503393
GRC,ind_pol,0.3589204346302138
GRC,ind_pro,0.5080745052482276
GRC,ind_reg,0
GRC,ind_tax,0.29558234678114914
GRC,incise_index,0.10637013861734056
HUN,ind_cap,0.5918382123325545
HUN,ind_crm,0.5054899534923647
HUN,ind_dig,0.21816950533622037
HUN,ind_ffm,0.10231619816773478
HUN,ind_hrm,0.2990075068711277
HUN,ind_inc,0.0218023223875018
HUN,ind_int,0.2445608338468372
HUN,ind_opn,0.08846927449340578
HUN,ind_pol,0.46302138100245355
HUN,ind_pro,0.4301432935109208
HUN,ind_reg,0.09752169650354552
HUN,ind_tax,0.4637708413421627
HUN,incise_index,0
InCiSE,ind_cap,0.6199133884576957
InCiSE,ind_crm,0.641518651420278
InCiSE,ind_dig,0.6161446243382247
InCiSE,ind_ffm,0.5977216085199251
InCiSE,ind_hrm,0.5875898904643908
InCiSE,ind_inc,0.6050446857605346
InCiSE,ind_int,0.5449363893882239
InCiSE,ind_opn,0.5559154594385758
InCiSE,ind_pol,0.5598262217056837
InCiSE,ind_pro,0.5370555545496412
InCiSE,ind_reg,0.4556454563661582
InCiSE,ind_tax,0.5601853836557322
InCiSE,incise_index,0.516875100691825
