"cc_iso3c","cc_name","ind_cap","ind_crm","ind_dig","ind_ffm","ind_hrm","ind_inc","ind_int","ind_opn","ind_pol","ind_pro","ind_reg","ind_tax","incise_index"
"CHE","Switzerland",0.7019890511676123,0.9098819140364117,0.33810984038514774,0.7823530954967959,0.7423567906704122,0.5292406404566585,0.8025409981643,0.5641140617874187,0.560112162635822,0.5806759580892501,0.641015171973404,0.6222409015075708,0.6562049270930469
"IRL","Ireland",0.7233792544730625,0.7303915484605573,0.5240280304786995,0.6058130461202457,0.991327888891457,0.5880041390033557,0.6897882703845797,0.4849773726204523,0.6698212407991588,0.6021744443886157,0.1530255877161659,0.8931966947029387,0.6286565175735743
"AUT","Austria",0.556875367330477,0.6103169674556302,0.9724817655396817,0.592033769719804,0.5064157975724425,0.7574276877814532,0.7317878371788911,0.6303307331592588,0.3929197336137399,0.6147110922876635,0.48493155024836004,0.7605042674699579,0.6197549768038616
"FRA","France",0.41470526571650834,0.7731510249882091,0.5946775816552075,0.7305873742200615,0.8249640169673118,0.46047322363848886,0.6778609552912362,0.8464638418062108,0.609533824044865,0.6202311354570968,0.35991833325990275,0.5527026639857929,0.6134832154707993
"ESP","Spain",0.6168364744734464,0.8172778125298149,0.8205117587600549,0.7227850955791714,0.5118733841194687,0.6262516344062493,0.5896095992243519,0.61747293468199,0.6028741675429373,0.4944027213781121,0.27227373907812286,0.7404584770080004,0.5979908496080772
"BEL","Belgium",0.49819549770220245,0.6920240323112185,0.6472897619309077,0.3472140761088162,0.7560834557561475,0.6697116581369934,0.6870064202749298,0.4869784958522656,0.6905012267788294,0.5079366505581616,0.25960611908152853,0.6531558503576635,0.5181720248904672
"DEU","Germany",0.5411967840874379,0,0.7315596024840414,0.8245121550969247,0.6794887430749189,0.7590249869488299,0.7786717924142,0.6741712306035362,0.36487907465825453,0.31228301613377063,0.6970416004043598,0.37484098428432927,0.4986424324262602
"LTU","Lithuania",0.2908033214167908,0.593204890786959,0.8412572629351593,0.6162814661516733,0.6139207897974333,0.4595190556572947,0.49905507454832765,0.4057570145269563,0.6855941114616194,0.4772685530895957,0.519451872137051,0.6328004030066989,0.49085233932998595
"MEX","Mexico",0.4889287931581656,0.6009944071494594,0.5856174162449412,0.8002820630646272,0.13173976237872814,0.5829209292839558,0,0.5525749785069233,0.5250613389414651,0.5897097505380846,0.8653495039076831,0.7375522037955083,0.47373062854430864
"CHL","Chile",0.587338470040585,0.5520198893300619,0.6013401451285562,0.4769086571409024,0.555182833223597,0.6470354133429576,0.5382717461797135,0.48446719361329127,0.8030143708377148,0.6612535175875552,0.2659115116041448,0.4109203013282439,0.4713872752437796
