"cc_iso3c","indicator","value","rank_value","value_label","hover_label","colour_group","text_colour","text_weight"
"NLD","ind_cap",0.6896328429924294,15,"0.69","NLD: 0.69","#dddddd","#444444","normal"
"NLD","ind_crm",1,1,"1.00","NLD: 1.00","#009d94","#009d94","bold"
"NLD","ind_dig",0.8510445817038512,7,"0.85","NLD: 0.85","#dddddd","#444444","normal"
"NLD","ind_ffm",0.7457729448548804,9,"0.75","NLD: 0.75","#dddddd","#444444","normal"
"NLD","ind_hrm",0.6716844901894947,15,"0.67","NLD: 0.67","#dddddd","#444444","normal"
"NLD","ind_inc",0.7483792008201183,11,"0.75","NLD: 0.75","#dddddd","#444444","normal"
"NLD","ind_int",0.6812956436506858,15,"0.68","NLD: 0.68","#dddddd","#444444","normal"
"NLD","ind_opn",0.8638584485688013,6,"0.86","NLD: 0.86","#dddddd","#444444","normal"
"NLD","ind_pol",0.493515597616544,23,"0.49","NLD: 0.49","#dddddd","#444444","normal"
"NLD","ind_pro",0.5870521221283319,15,"0.59","NLD: 0.59","#dddddd","#444444","normal"
"NLD","ind_reg",0.616735467119036,10,"0.62","NLD: 0.62","#dddddd","#444444","normal"
"NLD","ind_tax",0.7630109069633092,5,"0.76","NLD: 0.76","#009d94","#009d94","bold"
"NLD","incise_index",0.7936445995303185,8,"0.79","NLD: 0.79","#dddddd","#444444","normal"
"SWE","ind_cap",0.6976274773949507,13,"0.70","SWE: 0.70","#dddddd","#444444","normal"
"SWE","ind_crm",0.9807333747250256,2,"0.98","SWE: 0.98","#009d94","#009d94","bold"
"SWE","ind_dig",0.7464843677287564,11,"0.75","SWE: 0.75","#dddddd","#444444","normal"
"SWE","ind_ffm",0.9479834580313043,2,"0.95","SWE: 0.95","#009d94","#009d94","bold"
"SWE","ind_hrm",0.6154644635351589,18,"0.62","SWE: 0.62","#dddddd","#444444","normal"
"SWE","ind_inc",0.6770066358591464,18,"0.68","SWE: 0.68","#dddddd","#444444","normal"
"SWE","ind_int",0.8270884739566517,4,"0.83","SWE: 0.83","#009d94","#009d94","bold"
"SWE","ind_opn",0.7133258724894361,10,"0.71","SWE: 0.71","#dddddd","#444444","normal"
"SWE","ind_pol",0.866105853487557,6,"0.87","SWE: 0.87","#dddddd","#444444","normal"
"SWE","ind_pro",0.356434806565999,34,"0.36","SWE: 0.36","#dddddd","#444444","normal"
"SWE","ind_reg",0.5230851313214954,16,"0.52","SWE: 0.52","#dddddd","#444444","normal"
"SWE","ind_tax",0.6239025306477832,18,"0.62","SWE: 0.62","#dddddd","#444444","normal"
"SWE","incise_index",0.7824137642979726,9,"0.78","SWE: 0.78","#dddddd","#444444","normal"
"KOR","ind_cap",0.6362046981273733,19,"0.64","KOR: 0.64","#dddddd","#444444","normal"
"KOR","ind_crm",0.7969753485950364,9,"0.80","KOR: 0.80","#dddddd","#444444","normal"
"KOR","ind_dig",0.5586584764117614,26,"0.56","KOR: 0.56","#dddddd","#444444","normal"
"KOR","ind_ffm",1,1,"1.00","KOR: 1.00","#009d94","#009d94","bold"
"KOR","ind_hrm",0.9712652739866656,3,"0.97","KOR: 0.97","#009d94","#009d94","bold"
"KOR","ind_inc",0.2563103201232215,36,"0.26","KOR: 0.26","#dddddd","#444444","normal"
"KOR","ind_int",0.5044554539248518,25,"0.50","KOR: 0.50","#dddddd","#444444","normal"
"KOR","ind_opn",0.7109943680304291,11,"0.71","KOR: 0.71","#dddddd","#444444","normal"
"KOR","ind_pol",0.7651594812478094,10,"0.77","KOR: 0.77","#dddddd","#444444","normal"
"KOR","ind_pro",0.7464324068002115,5,"0.75","KOR: 0.75","#009d94","#009d94","bold"
"KOR","ind_reg",0.8077611918733762,3,"0.81","KOR: 0.81","#009d94","#009d94","bold"
"KOR","ind_tax",0.715431003128687,10,"0.72","KOR: 0.72","#dddddd","#444444","normal"
"KOR","incise_index",0.7741809214253687,10,"0.77","KOR: 0.77","#dddddd","#444444","normal"
"USA","ind_cap",0.938599636191702,2,"0.94","USA: 0.94","#009d94","#009d94","bold"
"USA","ind_crm",0.90731303115326,6,"0.91","USA: 0.91","#dddddd","#444444","normal"
"USA","ind_dig",0.6861485841514743,17,"0.69","USA: 0.69","#dddddd","#444444","normal"
"USA","ind_ffm",0.794555404565562,7,"0.79","USA: 0.79","#dddddd","#444444","normal"
"USA","ind_hrm",0.7749884890102547,9,"0.77","USA: 0.77","#dddddd","#444444","normal"
"USA","ind_inc",0.8736285266848454,4,"0.87","USA: 0.87","#009d94","#009d94","bold"
"USA","ind_int",0.7122429188085737,11,"0.71","USA: 0.71","#dddddd","#444444","normal"
"USA","ind_opn",0.7042534416316478,12,"0.70","USA: 0.70","#dddddd","#444444","normal"
"USA","ind_pol",0.4917630564318262,24,"0.49","USA: 0.49","#dddddd","#444444","normal"
"USA","ind_pro",0.5069465634245793,22,"0.51","USA: 0.51","#dddddd","#444444","normal"
"USA","ind_reg",0.5703759950932742,13,"0.57","USA: 0.57","#dddddd","#444444","normal"
"USA","ind_tax",0.6091455962924877,21,"0.61","USA: 0.61","#dddddd","#444444","normal"
"USA","incise_index",0.7638865868070119,11,"0.76","USA: 0.76","#dddddd","#444444","normal"
"EST","ind_cap",0.7947236530771027,7,"0.79","EST: 0.79","#dddddd","#444444","normal"
"EST","ind_crm",0.5122021980066547,29,"0.51","EST: 0.51","#dddddd","#444444","normal"
"EST","ind_dig",1,1,"1.00","EST: 1.00","#009d94","#009d94","bold"
"EST","ind_ffm",0.7191691210241098,14,"0.72","EST: 0.72","#dddddd","#444444","normal"
"EST","ind_hrm",0.5843832814625661,23,"0.58","EST: 0.58","#dddddd","#444444","normal"
"EST","ind_inc",0.3143070329214546,35,"0.31","EST: 0.31","#dddddd","#444444","normal"
"EST","ind_int",0.6339880856144166,18,"0.63","EST: 0.63","#dddddd","#444444","normal"
"EST","ind_opn",0.6598843113570033,15,"0.66","EST: 0.66","#dddddd","#444444","normal"
"EST","ind_pol",0.5720294426919033,18,"0.57","EST: 0.57","#dddddd","#444444","normal"
"EST","ind_pro",0.5056650265703996,23,"0.51","EST: 0.51","#dddddd","#444444","normal"
"EST","ind_reg",0.6544643692715041,8,"0.65","EST: 0.65","#dddddd","#444444","normal"
"EST","ind_tax",1,1,"1.00","EST: 1.00","#009d94","#009d94","bold"
"EST","incise_index",0.6769788451736509,12,"0.68","EST: 0.68","#dddddd","#444444","normal"
"CHE","ind_cap",0.7019890511676123,12,"0.70","CHE: 0.70","#dddddd","#444444","normal"
"CHE","ind_crm",0.9098819140364116,5,"0.91","CHE: 0.91","#009d94","#009d94","bold"
"CHE","ind_dig",0.33810984038514774,34,"0.34","CHE: 0.34","#dddddd","#444444","normal"
"CHE","ind_ffm",0.7823530954967959,8,"0.78","CHE: 0.78","#dddddd","#444444","normal"
"CHE","ind_hrm",0.7423567906704122,12,"0.74","CHE: 0.74","#dddddd","#444444","normal"
"CHE","ind_inc",0.5292406404566585,27,"0.53","CHE: 0.53","#dddddd","#444444","normal"
"CHE","ind_int",0.8025409981643,6,"0.80","CHE: 0.80","#dddddd","#444444","normal"
"CHE","ind_opn",0.5641140617874187,18,"0.56","CHE: 0.56","#dddddd","#444444","normal"
"CHE","ind_pol",0.560112162635822,19,"0.56","CHE: 0.56","#dddddd","#444444","normal"
"CHE","ind_pro",0.5806759580892501,16,"0.58","CHE: 0.58","#dddddd","#444444","normal"
"CHE","ind_reg",0.641015171973404,9,"0.64","CHE: 0.64","#dddddd","#444444","normal"
"CHE","ind_tax",0.6222409015075708,20,"0.62","CHE: 0.62","#dddddd","#444444","normal"
"CHE","incise_index",0.6562049270930469,13,"0.66","CHE: 0.66","#dddddd","#444444","normal"
"IRL","ind_cap",0.7233792544730625,9,"0.72","IRL: 0.72","#dddddd","#444444","normal"
"IRL","ind_crm",0.7303915484605573,14,"0.73","IRL: 0.73","#dddddd","#444444","normal"
"IRL","ind_dig",0.5240280304786995,27,"0.52","IRL: 0.52","#dddddd","#444444","normal"
"IRL","ind_ffm",0.6058130461202457,21,"0.61","IRL: 0.61","#dddddd","#444444","normal"
"IRL","ind_hrm",0.991327888891457,2,"0.99","IRL: 0.99","#009d94","#009d94","bold"
"IRL","ind_inc",0.5880041390033557,24,"0.59","IRL: 0.59","#dddddd","#444444","normal"
"IRL","ind_int",0.6897882703845797,12,"0.69","IRL: 0.69","#dddddd","#444444","normal"
"IRL","ind_opn",0.4849773726204523,22,"0.48","IRL: 0.48","#dddddd","#444444","normal"
"IRL","ind_pol",0.6698212407991588,14,"0.67","IRL: 0.67","#dddddd","#444444","normal"
"IRL","ind_pro",0.6021744443886157,12,"0.60","IRL: 0.60","#dddddd","#444444","normal"
"IRL","ind_reg",0.1530255877161659,35,"0.15","IRL: 0.15","#dddddd","#444444","normal"
"IRL","ind_tax",0.8931966947029387,2,"0.89","IRL: 0.89","#009d94","#009d94","bold"
"IRL","incise_index",0.6286565175735743,14,"0.63","IRL: 0.63","#dddddd","#444444","normal"
"AUT","ind_cap",0.556875367330477,29,"0.56","AUT: 0.56","#dddddd","#444444","normal"
"AUT","ind_crm",0.6103169674556302,23,"0.61","AUT: 0.61","#dddddd","#444444","normal"
"AUT","ind_dig",0.9724817655396816,4,"0.97","AUT: 0.97","#009d94","#009d94","bold"
"AUT","ind_ffm",0.592033769719804,23,"0.59","AUT: 0.59","#dddddd","#444444","normal"
"AUT","ind_hrm",0.5064157975724425,26,"0.51","AUT: 0.51","#dddddd","#444444","normal"
"AUT","ind_inc",0.7574276877814532,10,"0.76","AUT: 0.76","#dddddd","#444444","normal"
"AUT","ind_int",0.7317878371788911,10,"0.73","AUT: 0.73","#dddddd","#444444","normal"
"AUT","ind_opn",0.6303307331592588,16,"0.63","AUT: 0.63","#dddddd","#444444","normal"
"AUT","ind_pol",0.3929197336137399,31,"0.39","AUT: 0.39","#dddddd","#444444","normal"
"AUT","ind_pro",0.6147110922876635,10,"0.61","AUT: 0.61","#dddddd","#444444","normal"
"AUT","ind_reg",0.48493155024836,19,"0.48","AUT: 0.48","#dddddd","#444444","normal"
"AUT","ind_tax",0.7605042674699579,6,"0.76","AUT: 0.76","#dddddd","#444444","normal"
"AUT","incise_index",0.6197549768038616,15,"0.62","AUT: 0.62","#dddddd","#444444","normal"
"FRA","ind_cap",0.41470526571650834,35,"0.41","FRA: 0.41","#dddddd","#444444","normal"
"FRA","ind_crm",0.7731510249882091,12,"0.77","FRA: 0.77","#dddddd","#444444","normal"
"FRA","ind_dig",0.5946775816552075,24,"0.59","FRA: 0.59","#dddddd","#444444","normal"
"FRA","ind_ffm",0.7305873742200615,10,"0.73","FRA: 0.73","#dddddd","#444444","normal"
"FRA","ind_hrm",0.8249640169673118,6,"0.82","FRA: 0.82","#dddddd","#444444","normal"
"FRA","ind_inc",0.46047322363848886,30,"0.46","FRA: 0.46","#dddddd","#444444","normal"
"FRA","ind_int",0.6778609552912362,16,"0.68","FRA: 0.68","#dddddd","#444444","normal"
"FRA","ind_opn",0.8464638418062108,7,"0.85","FRA: 0.85","#dddddd","#444444","normal"
"FRA","ind_pol",0.609533824044865,16,"0.61","FRA: 0.61","#dddddd","#444444","normal"
"FRA","ind_pro",0.6202311354570968,9,"0.62","FRA: 0.62","#dddddd","#444444","normal"
"FRA","ind_reg",0.35991833325990275,26,"0.36","FRA: 0.36","#dddddd","#444444","normal"
"FRA","ind_tax",0.5527026639857929,25,"0.55","FRA: 0.55","#dddddd","#444444","normal"
"FRA","incise_index",0.6134832154707993,16,"0.61","FRA: 0.61","#dddddd","#444444","normal"
"ESP","ind_cap",0.6168364744734464,22,"0.62","ESP: 0.62","#dddddd","#444444","normal"
